Diff,Num,Title,Author,Pages,Series/Notes,Cycle,Anticipated Start Date,Completion Date,Rating,Number of Days,Pg/Day
5,61,The Yoga Sutras of Patanjali,Patanjali,252,,Philosophy / Theory / Nonfiction,03/24/33,,,14,18
5,62,The Street Of Crocodiles,Schulz,160,,High Literary / Modernist Core,04/07/33,,,8,18
3,63,Equinox,Delany,173,,Speculative SF,04/15/33,,,7,24
8,64,The Divinity Student,Cisco,160,,Weird / Horror / Dark Speculative,04/22/33,,,17,9
5,65,The Big Sleep,Chandler,231,,Mystery / Crime / Detective Fiction,05/09/33,,,12,18
5,66,The Doctrine of Recognition,Kṣemarāja,168,,Philosophy / Theory / Nonfiction,05/21/33,,,9,18
7,67,Berlin Alexanderplatz,Doblin,480,,Experimental / Postmodern / Metafiction,05/30/33,,,40,12
0,68,Simple Chess,Stean,176,,Chess,07/09/33,,,0,33
6,69,Anarchism and Other Essays,Goldman,304,,Philosophy / Theory / Nonfiction,07/09/33,,,20,15
3,70,The Story Of The Eye,Bataille,103,,Philosophy / Theory / Nonfiction,07/29/33,,,4,24
5,71,The Dhammapada,Unknown,114,,Philosophy / Theory / Nonfiction,08/02/33,,,6,18
4,72,Sleep And The Soul,Egan,429,,Hard SF,08/08/33,,,20,21
4,73,Industrial Society and its Future,Kaczynski,149,,Philosophy / Theory / Nonfiction,08/28/33,,,7,21
5,74,Cosmicomics,Calvino,153,,Experimental / Postmodern / Metafiction,09/04/33,,,8,18
5,75,Three Zen Sutras,Red Pine,224,,Philosophy / Theory / Nonfiction,09/12/33,,,12,18
5,76,Fanged Noumena,Land,680,,Philosophy / Theory / Nonfiction,09/24/33,,,37,18
4,77,Blasted,Kane,61,,Drama / Theatre,10/31/33,,,2,21
5,78,The Trouble With Being Born,Cioran,224,,Philosophy / Theory / Nonfiction,11/02/33,,,12,18
0,79,Fundamental Chess Openings,Van Der Sterren,448,,Chess,11/14/33,,,0,33
4,80,The Cloud Of Unknowing,Unknown,176,,Philosophy / Theory / Nonfiction,11/14/33,,,8,21
5,81,Perdido Street Station,Mieville,623,new crobuzon series (have audiobook),Speculative SF,11/22/33,,,34,18
5,82,The Scar,Mieville,578,,Speculative SF,12/26/33,,,32,18
5,83,Can Life Prevail,Linkola,204,,Philosophy / Theory / Nonfiction,01/27/34,,,11,18
0,84,Mastering Chess Strategy,Hellsten,496,4 months,Chess,02/07/34,,,0,33
5,85,Iron Council,Mieville,576,,Speculative SF,02/07/34,,,32,18
5,86,Selected Works of Voltairine de Cleyre,De Cleyre,476,,Philosophy / Theory / Nonfiction,03/11/34,,,26,18
4,87,Looking For Jake And Other Stories,Mieville,301,,Speculative SF,04/06/34,,,14,21
7,88,Selected Writings,Meister Eckhart,336,,Philosophy / Theory / Nonfiction,04/20/34,,,28,12
0,89,Zurich 1953,Bronstein,464,9 months,Chess,05/18/34,,,0,33
8,90,The Magic Mountain,Mann,720,,Experimental / Postmodern / Metafiction,05/18/34,,,80,9
4,91,The Croning,Barron,320,,Weird / Horror / Dark Speculative,08/06/34,,,15,21
3,92,Slaves Of New York,Janowitz,278,,Contemporary / Realist / Satirical Fiction,08/21/34,,,11,24
7,93,If On A Winter’S Night A Traveler,Calvino,260,,Experimental / Postmodern / Metafiction,09/01/34,,,21,12
6,94,Inherent Vice,Pynchon,369,,Contemporary / Realist / Satirical Fiction,09/22/34,,,24,15
0,95,Chess Structures,Rios,460,12 months,Chess,10/16/34,,,0,33
4,96,JR,Gaddis,752,,Contemporary / Realist / Satirical Fiction,10/16/34,,,35,21
4,97,Exhalation,Chiang,350,,Hard SF,11/20/34,,,16,21
5,98,4.48 Psychosis,Kane,43,,Drama / Theatre,12/06/34,,,2,18
